frame_index,timestep,tic1,tic2
0,0,-2.253232235713234,-2.3710609827776357
1,50,-2.280286555637556,-2.4851411097412974
2,100,-2.311092094245645,-2.3144871227952604
3,150,-2.280107496816159,-2.291943442483617
4,200,-2.2541217796596134,-2.1646151149561677
5,250,-2.2603926905469596,-2.13804233978614
6,300,-2.207481132957092,-2.066794342522178
7,350,-2.2398133490589625,-2.066780282266262
8,400,-2.212638971031954,-2.0633354972083664
9,450,-2.2049957228974555,-2.0546648268973007
10,500,-2.1732209162605196,-1.9739557310377644
11,550,-2.2504867824016594,-2.156555945445776
12,600,-2.1821836378367028,-2.1904276694480864
13,650,-2.2033464549213173,-2.2236405245596034
14,700,-2.187914145292818,-2.150854259633943
15,750,-2.2397638414796006,-2.0027491562537536
16,800,-2.2743369366329813,-1.9740155479781099
17,850,-2.218561753552277,-2.057310009174048
18,900,-2.1736289271576084,-1.9062687132948621
19,950,-2.2215473315220953,-1.8960487682985938
20,1000,-2.2095676163372633,-1.8697628804531545
21,1050,-2.22308728434017,-1.97160736572344
22,1100,-2.275790200607239,-1.8573287245612708
23,1150,-2.309983314711989,-1.9600173007002255
24,1200,-2.3016864338793623,-1.9502927212989134
25,1250,-2.271034058803814,-1.994992044596559
26,1300,-2.265753849075848,-1.9034840182362436
27,1350,-2.335825419217437,-1.920264747171595
28,1400,-2.3330870037481266,-1.920167511287887
29,1450,-2.296492450478248,-1.8790485178479233
30,1500,-2.325208392428781,-1.8023110039090389
31,1550,-2.3252347737258456,-1.745076491981358
32,1600,-2.2778525355941714,-1.7691041530335037
33,1650,-2.259145798146318,-1.7631249240362432
34,1700,-2.2616839699815183,-1.6953356914906816
35,1750,-2.3098624983249985,-1.608238777745106
36,1800,-2.2402781669906444,-1.5825989296552379
37,1850,-2.281409267480599,-1.7098400312038318
38,1900,-2.3216164580991103,-1.743522130339289
39,1950,-2.3456914962444357,-1.825456004206004
40,2000,-2.2939587367738175,-1.774940997459844
41,2050,-2.3320346257285003,-1.7507088532530055
42,2100,-2.317725132258923,-1.7378881607863077
43,2150,-2.274598538487099,-1.650277330931162
44,2200,-2.2304880037479613,-1.7383604645344852
45,2250,-2.244121955023191,-1.8206619630662135
46,2300,-2.2356444385499703,-1.8365884990455654
47,2350,-2.22016576926854,-1.9295573956051573
48,2400,-2.269536408170094,-2.0373312411125624
49,2450,-2.2513833092846096,-1.9743411555179202
50,2500,-2.351539578654154,-1.9596317881354164
51,2550,-2.322900781817231,-2.02754777426525
52,2600,-2.315611729268664,-2.0293041661388305
53,2650,-2.356846514816271,-2.0207313282988517
54,2700,-2.3470983862008548,-2.0763107121093927
55,2750,-2.3629554413127862,-2.2095831115155122
56,2800,-2.3090706534226877,-2.123895050297938
57,2850,-2.322342748545257,-2.1314608652342937
58,2900,-2.2650702113894168,-2.137803744025862
59,2950,-2.29498121870454,-1.9679194562294575
60,3000,-2.2067817419122315,-1.987528781579855
61,3050,-2.2532601025284054,-1.8858811351127966
62,3100,-2.2848888274347803,-1.9167035294101271
63,3150,-2.2155560099012885,-1.970566054182972
64,3200,-2.213928587604796,-1.9159613224927634
65,3250,-2.190694477600998,-1.7977201756121017
66,3300,-2.246901385650401,-1.8531435674949428
67,3350,-2.2096782175550205,-1.8897260883743692
68,3400,-2.220076088999695,-2.0173655507715873
69,3450,-2.2507336258852955,-2.052829936593504
70,3500,-2.3019187812975805,-2.060930695664148
71,3550,-2.301695958018362,-1.9740618965732455
72,3600,-2.3245331515218974,-2.0157167647003194
73,3650,-2.3259111806347357,-1.9687614924028054
74,3700,-2.2652428198120975,-1.9077884924758723
75,3750,-2.3082295206534718,-1.9645788220180533
76,3800,-2.340110024134707,-2.0684575714231475
77,3850,-2.2825280359908415,-2.1104508729080744
78,3900,-2.2911542829932405,-2.089856732155618
79,3950,-2.2483316477787656,-1.9247063677995366
80,4000,-2.305633749205067,-1.8690834163062517
81,4050,-2.3054998408607243,-1.809769619572352
82,4100,-2.3268411038522796,-1.7851357422314538
83,4150,-2.371789242599154,-1.7420972671464328
84,4200,-2.351953464688291,-1.7351801260079898
85,4250,-2.289616640227607,-1.8298048279899677
86,4300,-2.306949803713979,-1.7062130763169852
87,4350,-2.281692691722887,-1.6682047950526298
88,4400,-2.2534089229346828,-1.7290904956298525
89,4450,-2.268082803724519,-1.6858390447976597
90,4500,-2.3075060478327605,-1.511026028695959
91,4550,-2.293761517864884,-1.6953477435188296
92,4600,-2.2856526086642517,-1.7034703442974566
93,4650,-2.2639259784661,-1.7292226819347385
94,4700,-2.2821057010421466,-1.7692041852064786
95,4750,-2.2832572957892583,-1.7276438733770967
96,4800,-2.2955623700025476,-1.6865037082282772
97,4850,-2.3197695460679575,-1.692395835798706
98,4900,-2.297599928591229,-1.730711302572512
99,4950,-2.2933506869135174,-1.8474414539735964
100,5000,-2.2856084258739457,-1.907664006331623
101,5050,-2.2939136679585106,-1.917638168671434
102,5100,-2.27625048931412,-1.8082693818781497
103,5150,-2.2386169082362786,-1.8982636523931926
104,5200,-2.257002033096893,-1.8748870321820776
105,5250,-2.2674660439548036,-1.8760103977768103
106,5300,-2.264305586056262,-1.8017972743683688
107,5350,-2.2771137732252407,-1.8036737697095864
108,5400,-2.2767072576650604,-1.80712428591663
109,5450,-2.2153137886617005,-1.9736949470818619
110,5500,-2.2318368010044076,-2.0029204840176558
111,5550,-2.2171405290080353,-1.8932812193778026
112,5600,-2.2701982432930228,-1.8546629029066624
113,5650,-2.2551435839636076,-1.6727174429648235
114,5700,-2.2171830717112155,-1.6633222278860154
115,5750,-2.206560043829414,-1.7109547703479688
116,5800,-2.1889097889466758,-1.7456880457689055
117,5850,-2.1902863697951402,-1.708997343654111
118,5900,-2.1820401969369696,-1.7132027365357894
119,5950,-2.10479666736866,-1.7587167907613874
120,6000,-2.1444582781035075,-1.7690980299534351
121,6050,-2.186076663288064,-1.7184408790141499
122,6100,-2.163423110060052,-1.6223412237129315
123,6150,-2.1750720648012485,-1.6645982992066495
124,6200,-2.160300233612272,-1.7683709638559222
125,6250,-2.22301368429916,-1.797824637777243
126,6300,-2.2231721039739027,-1.7486784853916733
127,6350,-2.196090123591984,-1.8613321648803833
128,6400,-2.192091771027066,-1.777650003943247
129,6450,-2.235521090256785,-1.7819919166959748
130,6500,-2.1742625298544285,-1.6911775440493477
131,6550,-2.127485003054121,-1.7092456260837532
132,6600,-2.1501690685714383,-1.6909936380878237
133,6650,-2.133468267628325,-1.6397591657356585
134,6700,-2.15757191467909,-1.726188608349999
135,6750,-2.15897585219183,-1.666002651883031
136,6800,-2.1750816768537793,-1.6511580471640115
137,6850,-2.2009691646409055,-1.6664804192835287
138,6900,-2.2241081321882863,-1.7738156256592466
139,6950,-2.2797372802825224,-1.7642334662741106
140,7000,-2.3073084423815273,-1.7215455600448746
141,7050,-2.26018585269867,-1.836803167961489
142,7100,-2.2786450087043932,-1.7884686407630188
143,7150,-2.2262705930283144,-1.7729706676077193
144,7200,-2.214291814751605,-1.7581173273334272
145,7250,-2.2436329258796426,-1.7705884161389465
146,7300,-2.2196412213028003,-1.7239271464425898
147,7350,-2.2443253576874063,-1.8287297467179102
148,7400,-2.2573649523952843,-1.8231307192614212
149,7450,-2.269295929737668,-1.8278776396320502
150,7500,-2.264765364867819,-1.9413473673223
151,7550,-2.299698233987652,-1.8859447793427733
152,7600,-2.3036036276232195,-1.9494633542086748
